,logFC,AveExpr,t,P.Value,adj.P.Val,B
GLP2R,-2.12491287074791,5.18022849070977,-5.08966996310219,2.26112691895035e-05,7.69383451625142e-05,2.39149263684634
NOLC1,-1.23549546140641,8.87502230334967,-5.08919602897419,2.26403657426661e-05,7.70237181742621e-05,2.39022597095536
CFH,-1.45725533261284,14.705714927245,-5.08894883417137,2.26555568252715e-05,7.7061762202025e-05,2.38956530340263
SNX24,-1.13440909868471,6.52143018347577,-5.08880256408086,2.26645505018954e-05,7.70787163274259e-05,2.38917437346909
DBNL,-1.020598636436,9.27353703510654,-5.08814920288238,2.27047672858527e-05,7.7201830751772e-05,2.38742816443407
TMEM9B,-1.12973505282678,8.28728797006404,-5.08798071462229,2.2715149952664e-05,7.72215898318788e-05,2.38697785399266
COQ4,-1.10581196157041,8.83195556467273,-5.08790479751936,2.27198297088144e-05,7.72215898318788e-05,2.38677495408801
RPL41,-1.22606368107768,9.73709744987211,-5.08784685963852,2.27234018223013e-05,7.72215898318788e-05,2.38662010639576
SORL1,-1.32199848119988,11.4789195132016,-5.08779426049712,2.27266452675563e-05,7.72215898318788e-05,2.38647952730963
ACLY,-1.26202568478103,8.3760146386876,-5.08723745041527,2.27610085720804e-05,7.73246845375944e-05,2.38499137027532
CDC42,-1.07427574609755,10.2487005455372,-5.08647841818711,2.28079358237835e-05,7.74704180586993e-05,2.38296274869294
ASB7,-1.01003240140499,7.31435137583347,-5.08606179170917,2.2833735007862e-05,7.75443482646435e-05,2.38184925712956
IPO7,-1.15012609978508,10.0352146124102,-5.08594190974381,2.2841163997569e-05,7.75558774025545e-05,2.38152885634704
DCTN3,-1.00452920377635,8.15038024466547,-5.08498545149654,2.29005217761208e-05,7.77436925915454e-05,2.37897259634906
CDKL1,-1.73503943646105,3.09275422700612,-5.08423373875416,2.29472815274392e-05,7.78886806788521e-05,2.37696355076957
TMED4,-1.33963713523516,9.03538219676408,-5.08356263786905,2.29891077138666e-05,7.8016874810077e-05,2.37516995430941
MFAP3,-1.72877293654185,6.41785331161401,-5.08275761855748,2.30393811359661e-05,7.81736855522322e-05,2.37301844995754
NDUFV1,-1.17742865197366,10.8395160412445,-5.08187492163858,2.30946321672796e-05,7.83473272306247e-05,2.3706593497445
LRP4,-1.95567211279813,4.40795087849322,-5.08142466702895,2.31228662696258e-05,7.84143449041615e-05,2.36945599955821
ZNF100,-1.50225226783801,4.43048441862107,-5.08140794796638,2.31239153371984e-05,7.84143449041615e-05,2.36941131623536
C11orf95,-1.22115479211768,7.76096592025494,-5.0813624758555,2.31267688076479e-05,7.84143449041615e-05,2.36928978760296
PPIL4,-1.22243016569707,7.22843954657528,-5.08129980349623,2.31307022081404e-05,7.84143449041615e-05,2.36912228966527
GTPBP4,-1.084828484626,7.56719911444003,-5.08116991760889,2.31388561535145e-05,7.84281575372559e-05,2.3687751571843
AIFM1,-1.14556595468674,10.5864965897126,-5.08038219368022,2.31883694453932e-05,7.85693000708369e-05,2.36666989260003
SLC45A4,-2.3476376635454,4.30042287845994,-5.08037739417925,2.31886714487349e-05,7.85693000708369e-05,2.36665706550907
TSPAN5,-2.17554565028851,4.17123981375481,-5.08016242164892,2.32022024026648e-05,7.8601293601979e-05,2.36608253260645
NFKBIZ,-2.17972211494162,6.41976665273102,-5.07945244258928,2.32469466523895e-05,7.87389974263897e-05,2.36418505428245
NCF4,-2.14511667211197,4.78298074839695,-5.07934572334364,2.32536797766434e-05,7.87479291361581e-05,2.36389983856716
DSG1,-1.7059594980101,8.11727337765609,-5.07888439779992,2.32828081906924e-05,7.88326853585877e-05,2.36266691032202
SLC51A,-1.55481369543398,9.96127644433308,-5.07866846466114,2.32964549185126e-05,7.88650019032232e-05,2.36208981292824
DR1,-1.03523507284927,7.99135774803115,-5.07839162117547,2.33139628374016e-05,7.89103759769446e-05,2.36134992869921
NSFL1C,-0.846408931865772,9.49259899805906,-5.07784635675976,2.33484845911936e-05,7.90133103794572e-05,2.35989267211893
RNASEL,-1.06955701202436,6.02138877189795,-5.07747137346018,2.33722552378785e-05,7.90798322682532e-05,2.35889050504892
PLPPR2,-1.12308872324309,6.47224344672955,-5.0768658018089,2.34106943761631e-05,7.9195952733017e-05,2.3572720783905
TSPYL2,-1.27718541612193,6.09636121664005,-5.07645939818936,2.34365266838399e-05,7.92693922408202e-05,2.3561859421307
UNC45A,-1.12945646751441,8.71264244010425,-5.07620346576462,2.34528092193743e-05,7.93105113882976e-05,2.35550194927036
ZFHX4,-1.81823637840846,7.35290055386126,-5.07535204037573,2.35070589122067e-05,7.94799872647157e-05,2.35322647445735
MRPL4,-1.52373818099251,8.67408135611845,-5.07512187500559,2.35217457817629e-05,7.95156607445738e-05,2.3526113477095
RGS9,-1.85104144012886,4.63345398471028,-5.07324130639743,2.36420900038332e-05,7.99084353592992e-05,2.34758546648195
IGHMBP2,-1.16295157909022,6.06801905805774,-5.07257737691648,2.36847243943393e-05,8.00384648411272e-05,2.34581110111209
ZKSCAN1,-1.22181101064339,10.9200324197873,-5.07223682177118,2.37066231090394e-05,8.00983882726331e-05,2.34490096201366
CDON,-1.63065476696067,5.86731843160735,-5.07213433673248,2.37132171742192e-05,8.01065893822463e-05,2.34462706931708
WASHC2A,-1.33128977521016,7.18988874330518,-5.07198927405258,2.3722553900624e-05,8.01240510786184e-05,2.34423938745143
ALG3,-1.19508342135387,9.18632446522729,-5.07138203363523,2.37616779557686e-05,8.02420970840772e-05,2.34261653186448
GPT,-1.69774195466459,11.1274959033499,-5.07129498556625,2.37672916950429e-05,8.02469586998944e-05,2.3423838953918
MYO1E,-1.42310345551951,9.08752758199443,-5.07056340170303,2.38145241649747e-05,8.03923137966003e-05,2.34042873613783
ZNF551,-1.20262017562869,4.87499351779486,-5.0686684434053,2.39373041202707e-05,8.07926038820584e-05,2.33536448079995
ANP32B,-0.722529962345204,10.2473667230889,-5.06860328899263,2.39415369278651e-05,8.07927062380563e-05,2.33519035697366
TRMT112,-1.00094686981212,9.07473294182834,-5.06846488894549,2.39505306843163e-05,8.08088719561215e-05,2.33482048583736
SLC29A3,-1.20851438224039,6.38415929829576,-5.06832941551766,2.39593375366311e-05,8.08244014988124e-05,2.33445843621245
MICALL2,-1.53311186254418,5.4760468399388,-5.06766406888459,2.40026374930283e-05,8.09562641760473e-05,2.33268031527312
SERPIND1,-1.18336741723141,14.5296725258903,-5.06735659734438,2.40226738505348e-05,8.10083543061154e-05,2.33185860736983
RNF128,-0.962255225331369,10.8001505754617,-5.06729777308475,2.40265090378918e-05,8.10083543061154e-05,2.33170140151691
NLRP3,-2.0341662787053,3.38139353759806,-5.06722630718899,2.40311692521737e-05,8.10098595253445e-05,2.33151041136404
CENPJ,-1.81159860005667,3.88644543988552,-5.0670423785525,2.40431672062957e-05,8.10360956418366e-05,2.33101886863454
GRAMD4,-1.65951273621753,7.90444421845828,-5.06654028674482,2.40759500080989e-05,8.11276818011123e-05,2.32967704790456
CEACAM1,-1.32638152588318,9.34343425837699,-5.06643708232469,2.40826940241067e-05,8.11276818011123e-05,2.32940123844263
HAUS5,-1.32029330373238,5.57461883788457,-5.06643239661822,2.40830002621039e-05,8.11276818011123e-05,2.32938871609218
MFN1,-1.44211022363041,7.23336270395495,-5.06573059071246,2.41289114176079e-05,8.12651037727422e-05,2.3275131723075
PNMA2,-1.58732668747804,3.25478286425778,-5.06566155920595,2.41334320961424e-05,8.12651037727422e-05,2.32732868907494
YAP1,-1.02173215821602,8.56356760572423,-5.06556542748989,2.41397289046879e-05,8.12651037727422e-05,2.32707178197544
GRPEL2,-1.58997915229616,6.10992756717391,-5.06553822474598,2.41415110344668e-05,8.12651037727422e-05,2.32699908404944
NCKAP5L,-1.36392504772719,6.47356765359772,-5.06548604784401,2.41449296618936e-05,8.12651037727422e-05,2.32685964399907
MEGF9,-1.08018839054603,9.89300756640515,-5.06456146977254,2.42055884738522e-05,8.14512703198618e-05,2.32438876195682
FOXA3,-0.994438769727566,9.64545544607356,-5.06451386726349,2.42087156622986e-05,8.14512703198618e-05,2.32426154721187
FKBP8,-1.45200862565074,11.4863582145737,-5.06430695742562,2.42223130545981e-05,8.14821757556185e-05,2.32370859381163
MAP2K1,-1.30858801524169,9.58690404940542,-5.06424512458976,2.42263779775873e-05,8.14821757556185e-05,2.32354334957136
PDIA4,-1.33064529611562,11.7437608085431,-5.06408463289036,2.42369319754943e-05,8.15034138934543e-05,2.32311444610796
SLC25A16,-1.09291807409665,8.25736820624837,-5.06297421062191,2.4310080090841e-05,8.17350978919934e-05,2.3201469233385
EVI5,-1.30774168489336,7.83685170169039,-5.06277485857889,2.43232356357142e-05,8.17650297423686e-05,2.31961417087168
RAB33B,-1.37960990733177,7.38960960010449,-5.06186086344539,2.43836429447794e-05,8.19537649673749e-05,2.31717159702062
MARCHF2,-1.10698317974977,8.56366345990165,-5.06171181150955,2.43935082555051e-05,8.1972591542053e-05,2.31677326930845
ARHGAP26,-0.957254630777459,7.43436400959118,-5.06161148128754,2.44001510705497e-05,8.19805844689476e-05,2.31650514606908
SLIT2,-1.38020044664473,4.70015950161964,-5.0614576516886,2.4410339573107e-05,8.20004854609439e-05,2.31609405090182
ZBTB34,-1.54917111155437,5.30047511132594,-5.06139037043838,2.44147971110667e-05,8.20011311076621e-05,2.31591424815419
TMEM176A,-1.16462072040976,13.5830992727159,-5.06055546939961,2.44701791268453e-05,8.21727849281399e-05,2.31368305851458
GPR85,-1.24903198626937,3.05919271029796,-5.06040271613551,2.44803254174583e-05,8.21925002009492e-05,2.31327484148632
RNH1,-1.67620083502673,9.89396614164092,-5.06001137260249,2.45063387636925e-05,8.22654728011155e-05,2.31222901821848
MAP3K13,-0.842507073002492,9.0507617758894,-5.0592045288476,2.45600586391463e-05,8.24314118955284e-05,2.3100728208067
MTPAP,-1.2195051138891,6.90078225158126,-5.05907102116525,2.45689589858388e-05,8.24468906445716e-05,2.30971603752177
KBTBD2,-1.22922969664905,7.31737131162026,-5.05871901509431,2.45924411158476e-05,8.2511288037028e-05,2.30877534441108
EIF4G3,-1.09853932098018,8.04894005424997,-5.05860110146567,2.46003120951448e-05,8.25232943690732e-05,2.30846023498553
C14orf93,-1.11411144414154,5.56765746738844,-5.05844859047634,2.46104962634205e-05,8.25430548960676e-05,2.30805266866793
CPB2,-1.0816291554737,13.9720303150987,-5.05837969168585,2.46150984767547e-05,8.25440900428412e-05,2.30786854545419
CREBL2,-1.12215649241293,10.0621687911634,-5.05825984837378,2.46231056714353e-05,8.25565410766207e-05,2.30754827964119
CNTFR,-2.23989964293378,7.52055081716796,-5.0576039655086,2.4666973983127e-05,8.26892022363761e-05,2.30579551999593
LRFN1,-1.70839571013904,3.86409851737073,-5.05733455052176,2.4685016313882e-05,8.27352577814471e-05,2.3050755456947
TMCO4,-1.29285535775161,6.81712306637121,-5.05617194211059,2.47630262626573e-05,8.29822520306061e-05,2.30196864478753
RPLP2,-1.10705496514558,11.999369129657,-5.05558523600737,2.48024874182828e-05,8.31000035929744e-05,2.3004007643372
PIM3,-1.31884600283352,8.10587888348091,-5.05420049919841,2.48958731599827e-05,8.33983553756172e-05,2.2967002869761
BCAR1,-1.70346167805971,7.90275475794495,-5.05410179566164,2.49025430950757e-05,8.34061656799355e-05,2.29643651913313
SCN8A,-1.50570047265786,5.41074753030945,-5.05401194968523,2.49086160330214e-05,8.34119740872386e-05,2.29619642165999
FBXO41,-1.32964998838115,2.65184418253475,-5.05342767499951,2.49481449867458e-05,8.35297957802485e-05,2.29463505322807
TMEM201,-1.25555063104896,5.21607883663081,-5.05287924286118,2.49853061992712e-05,8.36396503014086e-05,2.29316947112306
KLHL9,-1.31449333540476,7.61813122610905,-5.05203378936631,2.50427019428926e-05,8.38171909561473e-05,2.29091016198344
NUAK1,-1.03642300031065,7.18247534988422,-5.05140879047853,2.50852164640803e-05,8.39448714572575e-05,2.2892399800672
MXD1,-1.39539499385627,5.43526696154765,-5.0512496774919,2.50960514050579e-05,8.3966513794333e-05,2.28881478383402
CA13,-1.37637370462629,5.24057457748462,-5.05028253131828,2.516201101498e-05,8.41725529429251e-05,2.28623029409202
HDDC2,-0.913640642604314,6.42584014158939,-5.05012630999385,2.51726816277937e-05,8.41935985202389e-05,2.28581282731133
GCGR,-1.67848197943793,9.66316727686509,-5.04992048591247,2.51867472508987e-05,8.42259898936385e-05,2.28526280862896
MTCH1,-0.948832800690152,10.3727264640187,-5.04927230802072,2.5231093943214e-05,8.43596140970937e-05,2.28353070194792
NGEF,-1.17578804954199,7.63987472204097,-5.04883490474917,2.52610641616682e-05,8.44343388031354e-05,2.28236184493371
ADRA2B,-1.27694276233292,6.31687004060856,-5.04881794200586,2.52622271415155e-05,8.44343388031354e-05,2.28231651605205
VPS9D1,-1.34026099504393,6.95733171865706,-5.04782760779452,2.53302183381807e-05,8.46395160943438e-05,2.27967009036939
SGMS1,-1.28736873441942,8.34293694330841,-5.04779558290556,2.53324200575737e-05,8.46395160943438e-05,2.27958451189475
GPAT4,-1.07510470032117,9.41897095281299,-5.04721142104974,2.53726149942336e-05,8.47590831041078e-05,2.27802348821403
BNIP2,-1.19543653453611,8.46303420445999,-5.04700474576198,2.5386851176601e-05,8.47919065097557e-05,2.27747120218307
ZNF562,-1.03795883818086,7.01655767651956,-5.0468493185125,2.53975625687925e-05,8.47976894099481e-05,2.27705586357101
SOCS7,-1.48344878598095,6.43106260708051,-5.04679434132786,2.54013524488583e-05,8.47976894099481e-05,2.27690895151686
YIPF2,-1.30185807115544,8.59929824028162,-5.04678763202668,2.54018149967173e-05,8.47976894099481e-05,2.27689102267811
EDC3,-1.12187330713737,6.99928063372638,-5.04658056568134,2.54160945662396e-05,8.48306281312425e-05,2.27633769272858
HOMEZ,-1.22422949080787,7.37319651382418,-5.04642945667562,2.54265203183147e-05,8.48506948654053e-05,2.27593389427851
CHCHD4,-1.04379669143039,6.98726141805717,-5.04626493848845,2.54378761067648e-05,8.48738577147786e-05,2.27549426369432
DLD,-1.17545659146988,10.0964902150988,-5.04608701607877,2.54501628332852e-05,8.4900118075639e-05,2.2750188143098
WDR83,-1.3033023723707,5.9893707309976,-5.04439433146673,2.55673516801444e-05,8.52631724614033e-05,2.27049559349506
NGF,-1.68528085465489,2.88334144264878,-5.04438694567616,2.55678641997394e-05,8.52631724614033e-05,2.27047585713766
ALKBH2,-1.14200861824664,7.5712489856592,-5.04338439689433,2.56375293122573e-05,8.54806626826478e-05,2.26779684618263
RNF113A,-1.0135904371512,6.73560063040866,-5.04307606686377,2.5658992755817e-05,8.55373913179439e-05,2.26697292920644
PIGB,-1.2646158283394,6.44596035314677,-5.04276826791335,2.56804371822456e-05,8.55940368981748e-05,2.26615043258614
EIF2B5,-1.04932281701082,8.48108715011923,-5.04187889475224,2.57425009515768e-05,8.57860254453222e-05,2.26377386722847
PRPSAP1,-1.31926091841484,9.64860661803842,-5.04180859235272,2.57474133174126e-05,8.57875253080167e-05,2.26358600698117
MANSC1,-0.902939549666323,6.85649006682784,-5.0416846912486,2.57560731675559e-05,8.58015086893541e-05,2.26325492182154
RPS25,-0.974095946654442,11.4802762628767,-5.04043649653504,2.58434764487212e-05,8.60721286780466e-05,2.25991954094177
CENPC,-1.43906813681432,6.76393823227947,-5.04039677717541,2.58462626194207e-05,8.60721286780466e-05,2.25981340463418
PMM2,-1.10525840173412,6.2520734473077,-5.03988267505409,2.58823522011774e-05,8.61773850134456e-05,2.2584396456516
FLOT1,-1.05670050533703,9.72007649633769,-5.03936600308887,2.59186730376605e-05,8.62833747444196e-05,2.25705902314209
STARD7,-1.26961891078171,9.98938028882267,-5.03925662352583,2.59263687117494e-05,8.6294050983965e-05,2.25676674551795
TMCC1,-0.944146977090137,8.46517234423465,-5.0391393150648,2.59346247869369e-05,8.63065884592109e-05,2.25645328093476
CYP2D6,-2.06404776441817,11.064515231985,-5.03873832515218,2.59628660249781e-05,8.63723692922905e-05,2.25538178128346
MCM5,-1.47897990302481,7.73166698249665,-5.03873107448221,2.5963376964377e-05,8.63723692922905e-05,2.25536240652547
SERPINA1,-1.09075369360282,18.5256904321978,-5.03813127504524,2.60056784586922e-05,8.64981260152869e-05,2.25375966477984
PLA2G6,-1.26577181654198,5.63781353407489,-5.03776269154534,2.6031707439758e-05,8.6569724187744e-05,2.25277476432105
TIMP1,-1.08100096268366,9.89802881137271,-5.03711664674534,2.60773934149757e-05,8.67066565899185e-05,2.25104845750382
FAM217B,-1.49019224577769,5.74977964010709,-5.03683428547321,2.60973862047022e-05,8.67390187776197e-05,2.25029395711087
CCDC102B,-1.19609951446354,4.02513097735703,-5.0367959809461,2.61000995661821e-05,8.67390187776197e-05,2.25019160328147
RALGDS,-1.36440436839828,6.26190072005146,-5.03672828270898,2.61048957683917e-05,8.67390187776197e-05,2.25001070633561
PCDHAC2,-2.15043044036366,2.68684922497222,-5.03672436136915,2.61051736097429e-05,8.67390187776197e-05,2.25000022809716
ASPG,-1.83879852428845,10.4890143523278,-5.03581889597198,2.61694085298114e-05,8.69374250882365e-05,2.24758073348747
EDEM3,-1.23658356549617,8.34624389492403,-5.0356785914529,2.61793760748477e-05,8.69555122734876e-05,2.24720582669272
RCC1,-1.09975024612141,7.30016628332051,-5.03560337932178,2.61847208773254e-05,8.69582412966972e-05,2.24700485295525
CCDC69,-0.945401764401087,9.50941534933489,-5.0353790957648,2.62006656378165e-05,8.69772224204647e-05,2.24640554710198
LIN7A,-1.02370861221456,9.04437874517608,-5.03535172183241,2.62026123704219e-05,8.69772224204647e-05,2.24633240153733
OSGEPL1,-1.64082144863564,5.77921412117195,-5.03533208497495,2.62040089601733e-05,8.69772224204647e-05,2.24627993012641
C4BPA,-1.22014679850849,14.5246103225792,-5.0338061030745,2.63127663899302e-05,8.73231372080801e-05,2.24220238832496
ATIC,-0.94447051962605,8.85220290119104,-5.03283713585054,2.63820596847283e-05,8.75379871313258e-05,2.2396132494887
SLC41A2,-1.20537943986473,10.3850715130398,-5.03213145956367,2.64326393692219e-05,8.76906802197224e-05,2.23772764810208
SPAST,-1.30868685389299,7.19789435051719,-5.03108827573499,2.65075880243968e-05,8.79241510988661e-05,2.23494022287672
ZSCAN30,-1.10009370715558,5.88821807775741,-5.03060685892913,2.65422476666469e-05,8.80239281337392e-05,2.23365386477491
RGS14,-1.37740532300028,7.89566787619623,-5.02994282513483,2.65901293239225e-05,8.8167512289136e-05,2.23187955475195
EIF2B1,-0.951219737473048,8.04050984089963,-5.02938128610351,2.66306878672742e-05,8.82786264597333e-05,2.2303791174299
ZCCHC3,-1.10362035368455,7.17444904314156,-5.02935174048634,2.66328235873318e-05,8.82786264597333e-05,2.23030017140053
C4orf48,-2.2114478478549,2.91467366056623,-5.02920510145072,2.66434260037049e-05,8.82985459267757e-05,2.22990835138527
RDH16,-1.27641482728834,13.1303686469232,-5.02862503739057,2.6685407722168e-05,8.84224342396897e-05,2.22835842120431
OTUD7A,-1.71357694564301,3.08435419433125,-5.02825726900105,2.67120590039516e-05,8.84954910134361e-05,2.22737574719275
ZNF654,-1.07973150665347,7.04692213197171,-5.02779752291868,2.67454131790865e-05,8.85907250806232e-05,2.22614731230491
CLIP2,-1.20744587781288,7.07541378366553,-5.02724197465613,2.67857733750746e-05,8.87072782710368e-05,2.2246628994491
ZBTB48,-1.30445657724852,7.4552186575803,-5.02718619981924,2.67898287459891e-05,8.87072782710368e-05,2.22451387054678
PTCH2,-2.03951412427908,1.80724969237301,-5.02671536648017,2.68240874039137e-05,8.88054211021597e-05,2.22325581800563
AMBP,-1.09815942056713,17.5009712419821,-5.02628792555729,2.68552267470198e-05,8.88932049262149e-05,2.22211371149207
APBB1IP,-1.5128559040078,7.30146082416644,-5.02519761875486,2.69348203314821e-05,8.9141318793724e-05,2.21920046369708
PITPNA,-1.17680269951802,9.25599000018611,-5.02440166033926,2.69930753061516e-05,8.93187388572746e-05,2.2170737118072
GK,-1.2591967616782,8.13342574555866,-5.02357480109346,2.7053725486413e-05,8.95040221091532e-05,2.21486440474367
FBXO32,-1.53583959350971,5.62403672428225,-5.02326881927629,2.70762038505355e-05,8.95491424303754e-05,2.21404684642355
SEC23B,-1.28296709528645,8.29078907068667,-5.02322223336266,2.70796278350168e-05,8.95491424303754e-05,2.21392237280575
CFHR5,-1.30208415373259,10.764611721026,-5.02319897381605,2.70813375339507e-05,8.95491424303754e-05,2.21386022527824
PCDHGA3,-1.8672311203131,2.86508691727335,-5.02283582597046,2.7108044832342e-05,8.9622039879927e-05,2.2128899262144
RAD21,-1.11320354493097,9.56347973290488,-5.0226651213664,2.71206082213775e-05,8.9648159053642e-05,2.21243381922779
RPLP0,-1.04752035073313,13.0182331642077,-5.02223993184164,2.71519263547667e-05,8.97362530806928e-05,2.21129775386459
RHOB,-1.19609777105869,11.4070922692595,-5.0220898583598,2.71629889441252e-05,8.9757384401995e-05,2.21089677265856
SMO,-1.43882827399595,9.77417125453523,-5.02136255882148,2.7216665429098e-05,8.99192976240605e-05,2.20895350646987
BTRC,-1.09713187008106,7.11241824737993,-5.02035994906178,2.72908346630574e-05,9.01488481782266e-05,2.20627465411735
ZNF605,-0.982054122757494,5.91408004843999,-5.02012839457943,2.73079929279506e-05,9.01900298986171e-05,2.20565597064635
RIMBP2,-2.66025229064068,2.2503832662715,-5.01870533016795,2.74136799329559e-05,9.0504781111413e-05,2.20185374562204
FZD8,-1.33207704082796,6.14276455395998,-5.01869939634521,2.74141214777345e-05,9.0504781111413e-05,2.20183789135981
GC,-1.17223566885263,16.5553227519384,-5.01865510921809,2.74174171751818e-05,9.0504781111413e-05,2.2017195629809
PTPN11,-1.27721963834197,9.94278699760951,-5.01838321041457,2.74376596566866e-05,9.0556052686661e-05,2.20099309194314
COL6A6,-1.56130007351606,4.66106274627647,-5.01742411400762,2.75091826007324e-05,9.07765251457397e-05,2.1984305456494
CNOT9,-1.14925202934762,7.583524519515,-5.01648803866718,2.75791688094325e-05,9.09918517867412e-05,2.19592952165863
SLC33A1,-1.02201036895522,8.37552163067383,-5.01637551881808,2.75875934149987e-05,9.10040294103208e-05,2.19562888989932
RDX,-1.11398217384724,10.6013652143142,-5.01495200313314,2.76943979106149e-05,9.13406759017964e-05,2.19182554241415
KCTD20,-0.975180425854735,9.69640135720987,-5.01460744056534,2.7720312160064e-05,9.14104633408628e-05,2.19090494538664
TNKS1BP1,-1.09209038821019,10.2130309419245,-5.01442322237197,2.77341770086536e-05,9.14404995697761e-05,2.19041275479466
ASB13,-1.20218810050792,10.1176266695834,-5.01258734290124,2.78727311361153e-05,9.18815596865256e-05,2.18550771734219
SLC2A3,-1.60638706651561,5.03027930673868,-5.01155633432526,2.79508452063407e-05,9.21232640308418e-05,2.18275312912571
SLC49A3,-1.7712505165799,5.48789926150153,-5.01141092113367,2.79618800188422e-05,9.21438367093317e-05,2.18236462408084
HSD11B1,-1.05038059745147,12.8603961449176,-5.01105710324237,2.79887480343441e-05,9.22087468109868e-05,2.18141931901547
ZNF672,-1.08077681309494,8.14132803547382,-5.01102522357045,2.79911701632728e-05,9.22087468109868e-05,2.18133414531278
AZGP1,-1.08929569947064,14.8634736125239,-5.01081427806356,2.80072025067273e-05,9.22457543587173e-05,2.18077055743764
RCE1,-1.25420795406676,5.46993436727558,-5.01070912623042,2.80151977213254e-05,9.22562823214251e-05,2.18048962118164
FBXL17,-0.999804029188349,8.14351889553967,-5.01062918970924,2.80212772198078e-05,9.226049915239e-05,2.18027605330001
CYP2C8,-1.33387319168217,14.5327068610911,-5.01025483642624,2.80497658969869e-05,9.23384844810913e-05,2.17927588810468
BRD3,-1.31664980663824,8.13096090084304,-5.0099819391547,2.80705519395159e-05,9.23810460916275e-05,2.17854678588235
GRIP1,-1.78737394980933,1.50186768271465,-5.00995892748542,2.80723053975182e-05,9.23810460916275e-05,2.17848530544377
ZNF337,-1.04358298122769,5.87148197349876,-5.00969594810023,2.8092351859874e-05,9.24294582901033e-05,2.17778270219005
IFIH1,-0.979265454651062,8.01225433908866,-5.00963898112715,2.80966962417632e-05,9.24294582901033e-05,2.17763050341159
SLC29A1,-1.10612290469025,10.437174820815,-5.0095767874879,2.81014399846894e-05,9.24294582901033e-05,2.17746434059951
POLI,-1.35520557895975,5.99043998207285,-5.00936273943005,2.81177723656502e-05,9.24673578052727e-05,2.17689246866335
NCDN,-1.61298565090816,5.34470048145133,-5.00886580537371,2.81557262819389e-05,9.25763362015181e-05,2.17556481346673
ZNF71,-1.63630117730644,4.09471566485466,-5.00812356198613,2.82125115302222e-05,9.27471843653422e-05,2.17358177469021
ADH4,-1.14031592234318,15.9370852895597,-5.00730851986045,2.82749983337947e-05,9.29367144755006e-05,2.17140425135555
ZNF746,-1.33205818281018,6.21653851599633,-5.00694383644259,2.83030023564822e-05,9.30067638765363e-05,2.17042994132281
